model_type,id,score
LogisticRegressionRFE,LG-7-3,0.4444444444444444
LogisticRegressionRFE,LG-8-3,0.5
LogisticRegressionRFE,LG-9-3,0.5694444444444444
LogisticRegressionRFE,LG-10-3,0.5694444444444444
LogisticRegressionRFE,LG-11-3,0.5694444444444444
LogisticRegressionRFE,LG-12-3,0.5694444444444444
LogisticRegressionRFE,LG-13-3,0.5416666666666666
LogisticRegressionRFE,LG-14-3,0.513888888888889
LogisticRegressionRFE,LG-15-3,0.5555555555555556
LogisticRegressionRFE,LG-16-3,0.5972222222222223
LogisticRegressionRFE,LG-17-3,0.5555555555555556
LogisticRegressionRFE,LG-18-3,0.5277777777777778
LogisticRegressionRFE,LG-19-3,0.5555555555555556
LogisticRegressionRFE,LG-20-3,0.5833333333333334
LogisticRegressionRFE,LG-21-3,0.5972222222222223
LogisticRegressionRFE,LG-22-3,0.5972222222222223
LogisticRegressionRFE,LG-23-3,0.5972222222222223
LogisticRegressionRFE,LG-24-3,0.625
LogisticRegressionRFE,LG-25-3,0.6250000000000001
LogisticRegressionRFE,LG-26-3,0.5972222222222222
LogisticRegressionRFE,LG-27-3,0.5694444444444444
LogisticRegressionRFE,LG-28-3,0.5416666666666667
LogisticRegressionRFE,LG-29-3,0.5416666666666667
LogisticRegressionRFE,LG-30-3,0.5416666666666667
LogisticRegressionRFE,LG-31-3,0.5972222222222223
LogisticRegressionRFE,LG-32-3,0.5416666666666667
LogisticRegressionRFE,LG-33-3,0.5416666666666667
LogisticRegressionRFE,LG-34-3,0.5416666666666667
LogisticRegressionRFE,LG-35-3,0.5416666666666667
LogisticRegressionRFE,LG-36-3,0.5416666666666667
LogisticRegressionRFE,LG-37-3,0.5416666666666667
LogisticRegressionRFE,LG-38-3,0.5416666666666667
LogisticRegressionRFE,LG-39-3,0.5416666666666667
LogisticRegressionRFE,LG-40-3,0.513888888888889
LogisticRegressionRFE,LG-41-3,0.5416666666666667
LogisticRegressionRFE,LG-42-3,0.513888888888889
LogisticRegressionRFE,LG-43-3,0.5416666666666667
LogisticRegressionRFE,LG-44-3,0.5416666666666667
LogisticRegressionRFE,LG-45-3,0.5416666666666667
LogisticRegressionRFE,LG-46-3,0.5694444444444444
LogisticRegressionRFE,LG-47-3,0.5694444444444444
LogisticRegressionRFE,LG-48-3,0.5694444444444444
LogisticRegressionRFE,LG-49-3,0.5694444444444444
LogisticRegressionRFE,LG-50-3,0.5694444444444444
LogisticRegressionRFE,LG-51-3,0.5694444444444444
LogisticRegressionRFE,LG-52-3,0.513888888888889
LogisticRegressionRFE,LG-53-3,0.5416666666666666
LogisticRegressionRFE,LG-54-3,0.48611111111111116
LogisticRegressionRFE,LG-55-3,0.513888888888889
LogisticRegressionRFE,LG-56-3,0.513888888888889
LogisticRegressionRFE,LG-57-3,0.513888888888889
LogisticRegressionRFE,LG-58-3,0.5972222222222223
LogisticRegressionRFE,LG-59-3,0.5694444444444445
LogisticRegressionRFE,LG-60-3,0.5694444444444445
LogisticRegressionRFE,LG-61-3,0.5694444444444445
LogisticRegressionRFE,LG-62-3,0.513888888888889
LogisticRegressionRFE,LG-63-3,0.513888888888889
LogisticRegressionRFE,LG-64-3,0.5416666666666666
LogisticRegressionRFE,LG-65-3,0.513888888888889
LogisticRegressionRFE,LG-66-3,0.5694444444444444
LogisticRegressionRFE,LG-67-3,0.5416666666666666
LogisticRegressionRFE,LG-68-3,0.5694444444444444
LogisticRegressionRFE,LG-69-3,0.5972222222222222
LogisticRegressionRFE,LG-70-3,0.625
LogisticRegressionRFE,LG-71-3,0.5694444444444444
LogisticRegressionRFE,LG-72-3,0.5694444444444444
LogisticRegressionRFE,LG-73-3,0.5694444444444444
LogisticRegressionRFE,LG-74-3,0.5416666666666667
LogisticRegressionRFE,LG-75-3,0.5972222222222222
LogisticRegressionRFE,LG-76-3,0.5694444444444444
LogisticRegressionRFE,LG-77-3,0.5555555555555555
LogisticRegressionRFE,LG-78-3,0.5972222222222222
LogisticRegressionRFE,LG-79-3,0.5972222222222222
LogisticRegressionRFE,LG-80-3,0.5694444444444444
LogisticRegressionRFE,LG-81-3,0.5694444444444444
LogisticRegressionRFE,LG-82-3,0.5694444444444444
LogisticRegressionRFE,LG-83-3,0.5694444444444444
LogisticRegressionRFE,LG-84-3,0.5277777777777778
LogisticRegressionRFE,LG-85-3,0.5277777777777778
LogisticRegressionRFE,LG-86-3,0.5694444444444444
LogisticRegressionRFE,LG-87-3,0.5694444444444444
LogisticRegressionRFE,LG-88-3,0.5972222222222222
LogisticRegressionRFE,LG-89-3,0.5277777777777778
LogisticRegressionRFE,LG-90-3,0.5694444444444444
LogisticRegressionRFE,LG-91-3,0.5694444444444444
LogisticRegressionRFE,LG-92-3,0.5
LogisticRegressionRFE,LG-93-3,0.5
LogisticRegressionRFE,LG-94-3,0.5
LogisticRegressionRFE,LG-95-3,0.5
LogisticRegressionRFE,LG-96-3,0.5
LogisticRegressionRFE,LG-97-3,0.5
LogisticRegressionRFE,LG-98-3,0.5
LogisticRegressionRFE,LG-99-3,0.5
LogisticRegressionRFE,LG-100-3,0.5
LogisticRegressionRFE,LG-101-3,0.5
LogisticRegressionRFE,LG-102-3,0.5
LogisticRegressionRFE,LG-103-3,0.5
LogisticRegressionRFE,LG-104-3,0.5277777777777778
LogisticRegressionRFE,LG-105-3,0.5277777777777778
LogisticRegressionRFE,LG-106-3,0.5277777777777778
LogisticRegressionRFE,LG-107-3,0.5277777777777778
LogisticRegressionRFE,LG-108-3,0.5694444444444444
LogisticRegressionRFE,LG-109-3,0.5416666666666667
LogisticRegressionRFE,LG-110-3,0.5694444444444444
LogisticRegressionRFE,LG-111-3,0.5416666666666667
LogisticRegressionRFE,LG-112-3,0.5416666666666667
LogisticRegressionRFE,LG-113-3,0.5416666666666667
LogisticRegressionRFE,LG-114-3,0.513888888888889
LogisticRegressionRFE,LG-115-3,0.5416666666666667
LogisticRegressionRFE,LG-116-3,0.513888888888889
LogisticRegressionRFE,LG-117-3,0.513888888888889
LogisticRegressionRFE,LG-118-3,0.513888888888889
LogisticRegressionRFE,LG-119-3,0.513888888888889
LogisticRegressionRFE,LG-120-3,0.513888888888889
LogisticRegressionRFE,LG-121-3,0.513888888888889
LogisticRegressionRFE,LG-122-3,0.513888888888889
LogisticRegressionRFE,LG-123-3,0.513888888888889
LogisticRegressionRFE,LG-124-3,0.513888888888889
LogisticRegressionRFE,LG-125-3,0.513888888888889
LogisticRegressionRFE,LG-126-3,0.513888888888889
LogisticRegressionRFE,LG-127-3,0.513888888888889
LogisticRegressionRFE,LG-128-3,0.513888888888889
LogisticRegressionRFE,LG-129-3,0.513888888888889
LogisticRegressionRFE,LG-130-3,0.513888888888889
LogisticRegressionRFE,LG-131-3,0.513888888888889
LogisticRegressionRFE,LG-132-3,0.513888888888889
LogisticRegressionRFE,LG-133-3,0.513888888888889
LogisticRegressionRFE,LG-134-3,0.513888888888889
LogisticRegressionRFE,LG-135-3,0.513888888888889
LogisticRegressionRFE,LG-136-3,0.513888888888889
LogisticRegressionRFE,LG-137-3,0.513888888888889
LogisticRegressionRFE,LG-138-3,0.513888888888889
LogisticRegressionRFE,LG-139-3,0.513888888888889
LogisticRegressionRFE,LG-140-3,0.513888888888889
LogisticRegressionRFE,LG-141-3,0.513888888888889
LogisticRegressionRFE,LG-142-3,0.513888888888889
LogisticRegressionRFE,LG-143-3,0.513888888888889
LogisticRegressionRFE,LG-144-3,0.513888888888889
LogisticRegressionRFE,LG-145-3,0.513888888888889
LogisticRegressionRFE,LG-146-3,0.513888888888889
LogisticRegressionRFE,LG-147-3,0.513888888888889
LogisticRegressionRFE,LG-148-3,0.513888888888889
LogisticRegressionRFE,LG-149-3,0.513888888888889
LogisticRegressionRFE,LG-150-3,0.5416666666666667
LogisticRegressionRFE,LG-151-3,0.5416666666666667
LogisticRegressionRFE,LG-152-3,0.5416666666666667
LogisticRegressionRFE,LG-153-3,0.5416666666666667
LogisticRegressionRFE,LG-154-3,0.5416666666666667
LogisticRegressionRFE,LG-155-3,0.5416666666666667
LogisticRegressionRFE,LG-156-3,0.5416666666666667
LogisticRegressionRFE,LG-157-3,0.5416666666666667
LogisticRegressionRFE,LG-158-3,0.5416666666666667
LogisticRegressionRFE,LG-159-3,0.5416666666666667
