model_id,param,value
SVM-211,gamma,auto
SVM-211,kernel,poly
SVM-212,C,1
SVM-212,degree,3
SVM-212,gamma,scale
SVM-212,kernel,poly
SVM-213,C,1
SVM-213,degree,3
SVM-213,gamma,auto
SVM-213,kernel,poly
SVM-214,C,1
SVM-214,degree,4
SVM-214,gamma,scale
SVM-214,kernel,poly
SVM-215,C,1
SVM-215,degree,4
SVM-215,gamma,auto
SVM-215,kernel,poly
SVM-216,C,2
SVM-216,degree,2
SVM-216,gamma,scale
SVM-216,kernel,poly
SVM-217,C,2
SVM-217,degree,2
SVM-217,gamma,auto
SVM-217,kernel,poly
SVM-218,C,2
SVM-218,degree,3
SVM-218,gamma,scale
SVM-218,kernel,poly
SVM-219,C,2
SVM-219,degree,3
SVM-219,gamma,auto
SVM-219,kernel,poly
SVM-220,C,2
SVM-220,degree,4
SVM-220,gamma,scale
SVM-220,kernel,poly
SVM-221,C,2
SVM-221,degree,4
SVM-221,gamma,auto
SVM-221,kernel,poly
SVM-222,C,4
SVM-222,degree,2
SVM-222,gamma,scale
SVM-222,kernel,poly
SVM-223,C,4
SVM-223,degree,2
SVM-223,gamma,auto
SVM-223,kernel,poly
SVM-224,C,4
SVM-224,degree,3
SVM-224,gamma,scale
SVM-224,kernel,poly
SVM-225,C,4
SVM-225,degree,3
SVM-225,gamma,auto
SVM-225,kernel,poly
SVM-226,C,4
SVM-226,degree,4
SVM-226,gamma,scale
SVM-226,kernel,poly
SVM-227,C,4
SVM-227,degree,4
SVM-227,gamma,auto
SVM-227,kernel,poly
SVM-228,C,8
SVM-228,degree,2
SVM-228,gamma,scale
SVM-228,kernel,poly
SVM-229,C,8
SVM-229,degree,2
SVM-229,gamma,auto
SVM-229,kernel,poly
SVM-230,C,8
SVM-230,degree,3
SVM-230,gamma,scale
SVM-230,kernel,poly
SVM-231,C,8
SVM-231,degree,3
SVM-231,gamma,auto
SVM-231,kernel,poly
SVM-232,C,8
SVM-232,degree,4
SVM-232,gamma,scale
SVM-232,kernel,poly
SVM-233,C,8
SVM-233,degree,4
SVM-233,gamma,auto
SVM-233,kernel,poly
SVM-234,C,16
SVM-234,degree,2
SVM-234,gamma,scale
SVM-234,kernel,poly
SVM-235,C,16
SVM-235,degree,2
SVM-235,gamma,auto
SVM-235,kernel,poly
SVM-236,C,16
SVM-236,degree,3
SVM-236,gamma,scale
SVM-236,kernel,poly
SVM-237,C,16
SVM-237,degree,3
SVM-237,gamma,auto
SVM-237,kernel,poly
SVM-238,C,16
SVM-238,degree,4
SVM-238,gamma,scale
SVM-238,kernel,poly
SVM-239,C,16
SVM-239,degree,4
SVM-239,gamma,auto
SVM-239,kernel,poly
SVM-240,C,32
SVM-240,degree,2
SVM-240,gamma,scale
SVM-240,kernel,poly
SVM-241,C,32
SVM-241,degree,2
SVM-241,gamma,auto
SVM-241,kernel,poly
SVM-242,C,32
SVM-242,degree,3
SVM-242,gamma,scale
SVM-242,kernel,poly
SVM-243,C,32
SVM-243,degree,3
SVM-243,gamma,auto
SVM-243,kernel,poly
SVM-244,C,32
SVM-244,degree,4
SVM-244,gamma,scale
SVM-244,kernel,poly
SVM-245,C,32
SVM-245,degree,4
SVM-245,gamma,auto
SVM-245,kernel,poly
SVM-246,C,64
SVM-246,degree,2
SVM-246,gamma,scale
SVM-246,kernel,poly
SVM-247,C,64
SVM-247,degree,2
SVM-247,gamma,auto
SVM-247,kernel,poly
SVM-248,C,64
SVM-248,degree,3
SVM-248,gamma,scale
SVM-248,kernel,poly
SVM-249,C,64
SVM-249,degree,3
SVM-249,gamma,auto
SVM-249,kernel,poly
SVM-250,C,64
SVM-250,degree,4
SVM-250,gamma,scale
SVM-250,kernel,poly
SVM-251,C,64
